7310,65535,65535,65535
7363,65535,65535,65535
7416,65535,65535,65535
7469,65535,65535,65535
7521,65535,65535,65535
7574,65535,65535,65535
7627,65535,65535,65535
7680,65535,65535,65535
7733,65535,65535,65535
7786,65535,65535,65535
7839,32768,32959,32775
7892,32768,32768,32701
7944,32768,32936,32782
7997,32768,32768,32701
8050,32768,32936,32782
8103,32768,32768,32768
8156,32768,32959,32775
8209,32768,32768,32701
8262,32768,32959,32782
8315,32768,32768,32701
8367,32768,32936,32782
8420,32768,32768,32701
8473,32768,32959,32782
8526,32782,32775,32768
8579,32768,32768,32701
8632,32782,32959,32782
8685,32768,32768,32701
8738,32768,32959,32775
8790,32768,32768,32701
8843,32768,32936,32782
8896,32768,32768,32701
8949,32768,32959,32782
9002,32768,32768,32701
9055,32768,32959,32782
9108,32768,32775,32768
9161,32768,32768,32701
9213,32768,32959,32775
9266,32768,32768,32768
9319,32768,32959,32775
9372,32768,32768,32768
9425,32768,32959,32782
9478,32768,32768,32701
9531,32768,32959,32782
9584,32768,32768,32701
9636,32768,32959,32782
9689,32768,32768,32768
9742,32768,32959,32775
9795,32796,32768,32768
9848,32768,32936,32782
9901,32768,32768,32701
9954,32768,32959,32782
10007,32768,32768,32768
10059,32768,32959,32775
10112,32768,32775,32768
10165,32768,32768,32701
10218,32768,32959,32782
10271,32768,32768,32768
10324,32768,32959,32775
10377,32768,32768,32701
10430,32782,32959,32782
10483,32768,32768,32701
10535,32782,32959,32782
10588,32768,32768,32701
10641,32768,32936,32775
10694,32768,32768,32768
10747,32768,32959,32775
10800,32768,32768,32701
10853,32768,32959,32782
10906,32768,32768,32701
10958,32768,32959,32782
11011,32768,32775,32768
11064,32768,32768,32701
11117,32768,32959,32782
11170,32768,32768,32701
11223,32768,32959,32775
11276,32768,32768,32701
11329,32768,32959,32775
11381,32768,32768,32701
11434,32768,32959,32782
11487,32768,32768,32701
11540,32768,32959,32775
11593,32768,32775,32701
11646,32768,32768,32701
11699,32768,32959,32782
11752,32768,32768,32701
11804,32768,32959,32775
11857,32768,32768,32768
11910,32782,32959,32775
11963,32768,32768,32701
12016,32768,32959,32782
12069,32768,32768,32701
12122,32768,32959,32782
12175,32768,32768,32701
12227,32768,32959,32775
12280,32768,32775,32768
12333,32768,32768,32701
12386,32768,32959,32775
12439,32768,32768,32768
12492,32768,32959,32775
12545,32768,32768,32701
12598,32768,32959,32782
12650,32768,32768,32701
12703,32768,32959,32782
12756,32768,32768,32701
12809,32768,32959,32775
12862,32768,32768,32768
12915,32768,32959,32775
12968,32768,32768,32701
13021,32768,32959,32782
13074,32768,32768,32701
13126,32768,32959,32782
13179,32768,32768,32768
13232,32782,32959,32775
13285,32768,32768,32768
13338,32768,32959,32782
13391,32768,32768,32701
13444,32768,32959,32782
13497,32768,32768,32701
13549,32768,32959,32782
13602,32768,32775,32768
13655,32768,32768,32701
13708,32768,32959,32782
13761,32768,32768,32768
13814,32768,32959,32775
13867,32768,32768,32768
13920,32768,32959,32782
13972,32768,32768,32701
14025,32768,32959,32782
14078,32768,32768,32701
14131,32768,32959,32775
14184,32768,32768,32768
14237,32768,32959,32775
14290,32768,32768,32701
14343,32768,32959,32782
14395,32782,32768,32701
14448,32768,32959,32782
14501,32768,32768,32701
14554,32768,32959,32775
14607,32768,32768,32768
14660,32768,32936,32782
14713,32768,32768,32701
14766,32768,32959,32782
14818,32768,32768,32701
14871,32768,32959,32775
14924,32782,32768,32701
14977,32768,32936,32775
15030,32768,32775,32768
15083,32768,32768,32701
15136,32768,32959,32775
15189,32768,32768,32768
15242,32768,32959,32775
15294,32768,32768,32701
15347,32768,32959,32782
15400,32768,32768,32701
15453,32768,32959,32782
15506,32768,32768,32701
15559,32768,32959,32775
15612,32768,32768,32768
15665,32768,32959,32782
15717,32768,32768,32701
15770,32768,32959,32782
15823,32768,32768,32701
15876,32768,32959,32775
15929,32768,32775,32768
15982,32768,32768,32701
16035,32768,32959,32782
16088,32768,32768,32701
16140,32782,32959,32775
16193,32768,32768,32768
16246,32768,32959,32775
16299,32768,32768,32701
16352,32768,32959,32782
16405,32768,32768,32701
16458,32768,32959,32775
16511,32768,32775,32768
16563,32768,32768,32701
16616,32768,32936,32782
16669,32768,32768,32701
16722,32768,32959,32775
16775,32768,32768,32768
16828,32768,32959,32782
16881,32768,32768,32701
16934,32768,32959,32782
16986,32768,32768,32701
17039,32768,32936,32782
17092,32768,32775,32768
17145,32768,32768,32701
17198,32768,32959,32782
17251,32768,32768,32701
17304,32782,32936,32775
17357,32768,32775,32768
17409,32768,32768,32701
17462,32768,32959,32782
17515,32768,32768,32768
17568,32768,32959,32775
17621,32768,32768,32701
17674,32768,32959,32782
17727,32782,32768,32701
17780,32768,32959,32782
17833,32768,32775,32701
17885,32768,32768,32701
17938,32768,32959,32782
17991,32768,32768,32701
18044,32768,32959,32782
18097,32768,32775,32768
18150,32768,32768,32701
18203,32768,32936,32782
18256,32768,32768,32768
18308,32782,32959,32775
18361,32782,32775,32768
18414,32768,32768,32701
18467,32768,32959,32775
18520,32768,32775,32768
18573,32768,32768,32701
18626,32768,32959,32782
18679,32768,32775,32768
18731,32768,32768,32701
